split,label,precision,recall,f1,support
loc,JURISPRUDENCIA,0.75,0.8225806451612904,0.7846153846153845,62
loc,LEGISLACAO,0.75,0.78,0.7647058823529411,50
loc,LOCAL,0.8813559322033898,0.7761194029850746,0.8253968253968255,67
loc,ORGANIZACAO,0.8230088495575221,0.8532110091743119,0.8378378378378378,109
loc,PESSOA,0.6236559139784946,0.7073170731707317,0.6628571428571428,82
loc,TEMPO,0.8928571428571429,0.9375,0.9146341463414636,80
reverse,JURISPRUDENCIA,0.41245972073039744,0.3991683991683992,0.4057052297939778,962
reverse,LEGISLACAO,0.5343415248897291,0.6352059925093633,0.5804243668720055,1335
reverse,LOCAL,0.7040816326530612,0.2923728813559322,0.41317365269461076,708
reverse,ORGANIZACAO,0.6198830409356725,0.7268571428571429,0.6691215149921095,1750
reverse,PESSOA,0.7979066022544283,0.6615487316421896,0.7233576642335765,1498
reverse,TEMPO,0.9250788643533123,0.8806306306306306,0.9023076923076923,1332
semantic,JURISPRUDENCIA,0.8028169014084507,0.7916666666666666,0.7972027972027971,144
semantic,LEGISLACAO,0.9065934065934066,0.9510086455331412,0.9282700421940928,347
semantic,LOCAL,0.8867924528301887,0.8867924528301887,0.8867924528301887,53
semantic,ORGANIZACAO,0.8556149732620321,0.9169054441260746,0.8852005532503459,349
semantic,PESSOA,0.6984126984126984,0.946236559139785,0.8036529680365297,93
semantic,TEMPO,0.979381443298969,0.95,0.9644670050761421,200
heur_len,JURISPRUDENCIA,0.8121387283236994,0.8753894080996885,0.8425787106446776,321
heur_len,LEGISLACAO,0.9137055837563451,0.9507042253521126,0.9318377911993097,568
heur_len,LOCAL,0.7874396135265701,0.8358974358974359,0.8109452736318409,195
heur_len,ORGANIZACAO,0.8764783180026281,0.892904953145917,0.8846153846153847,747
heur_len,PESSOA,0.9386363636363636,0.9560185185185185,0.9472477064220183,432
heur_len,TEMPO,0.9671232876712329,0.9592391304347826,0.9631650750341064,368
heur_rare,JURISPRUDENCIA,0.8135593220338984,0.9094736842105263,0.8588469184890656,475
heur_rare,LEGISLACAO,0.8397711015736766,0.9003067484662577,0.8689859363434493,652
heur_rare,LOCAL,0.7811158798283262,0.8387096774193549,0.8088888888888889,217
heur_rare,ORGANIZACAO,0.8305252725470763,0.8568507157464212,0.8434826371414192,978
heur_rare,PESSOA,0.9242424242424242,0.9119601328903655,0.9180602006688963,602
heur_rare,TEMPO,0.9581818181818181,0.9547101449275363,0.956442831215971,552
std,JURISPRUDENCIA,0.772020725388601,0.8142076502732241,0.7925531914893618,183
std,LEGISLACAO,0.8765743073047859,0.9329758713136729,0.9038961038961039,373
std,LOCAL,0.6,0.7659574468085106,0.6728971962616823,47
std,ORGANIZACAO,0.7992125984251969,0.8152610441767069,0.8071570576540756,498
std,PESSOA,0.8728813559322034,0.911504424778761,0.8917748917748918,226
std,TEMPO,0.8936170212765957,0.875,0.8842105263157894,192
advs,JURISPRUDENCIA,0.7518796992481203,0.821917808219178,0.7853403141361257,365
advs,LEGISLACAO,0.8629579375848032,0.9284671532846716,0.8945147679324894,685
advs,LOCAL,0.7857142857142857,0.8608695652173913,0.8215767634854773,115
advs,ORGANIZACAO,0.8389694041867954,0.8389694041867954,0.8389694041867956,621
advs,PESSOA,0.9108108108108108,0.9387186629526463,0.9245541838134431,359
advs,TEMPO,0.9924812030075187,0.9295774647887324,0.96,284
