split,label,precision,recall,f1,support
loc,BUSINESS,0.8432835820895522,0.8625954198473282,0.8528301886792453,655
loc,COURT,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
loc,GOVERNMENT,0.7142857142857143,0.813953488372093,0.7608695652173914,43
loc,LEGISLATION/ACT,0.7916666666666666,0.6551724137931034,0.7169811320754716,29
loc,LOCATION,0.738255033557047,0.9166666666666666,0.8178438661710038,120
loc,MISCELLANEOUS,0.681592039800995,0.6171171171171171,0.6477541371158393,222
loc,PERSON,0.8389261744966443,0.8223684210526315,0.8305647840531561,152
reverse,BUSINESS,0.538021978021978,0.5373134328358209,0.5376674719964859,2278
reverse,COURT,0.3333333333333333,0.10714285714285714,0.16216216216216214,28
reverse,GOVERNMENT,0.9436619718309859,0.31678486997635935,0.4743362831858407,423
reverse,LEGISLATION/ACT,0.382051282051282,0.40877914951989025,0.3949635520212061,729
reverse,LOCATION,0.7048951048951049,0.628428927680798,0.6644693473961766,802
reverse,MISCELLANEOUS,0.596078431372549,0.37163814180929094,0.4578313253012048,818
reverse,PERSON,0.7931818181818182,0.6763565891472868,0.7301255230125523,516
semantic,BUSINESS,0.8543388429752066,0.8882921589688507,0.8709847288046341,931
semantic,COURT,1.0,1.0,1.0,6
semantic,GOVERNMENT,0.6274509803921569,0.6037735849056604,0.6153846153846154,53
semantic,LEGISLATION/ACT,0.8222222222222222,0.9673202614379085,0.8888888888888888,153
semantic,LOCATION,0.7871485943775101,0.9560975609756097,0.8634361233480177,205
semantic,MISCELLANEOUS,0.7052238805970149,0.7132075471698113,0.7091932457786115,265
semantic,PERSON,0.8095238095238095,0.7870370370370371,0.7981220657276996,108
heur_len,BUSINESS,0.9172056921086675,0.9453333333333334,0.9310571240971767,750
heur_len,COURT,0.6,1.0,0.7499999999999999,3
heur_len,GOVERNMENT,0.8220338983050848,0.9065420560747663,0.8622222222222222,107
heur_len,LEGISLATION/ACT,0.9314516129032258,0.9203187250996016,0.9258517034068137,251
heur_len,LOCATION,0.91,0.9381443298969072,0.9238578680203046,194
heur_len,MISCELLANEOUS,0.8223684210526315,0.8223684210526315,0.8223684210526315,304
heur_len,PERSON,0.9888888888888889,0.956989247311828,0.9726775956284154,93
heur_rare,BUSINESS,0.8041666666666667,0.8717253839205059,0.8365843086259211,1107
heur_rare,COURT,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
heur_rare,GOVERNMENT,0.8796992481203008,0.8297872340425532,0.854014598540146,141
heur_rare,LEGISLATION/ACT,0.8609865470852018,0.8687782805429864,0.8648648648648648,221
heur_rare,LOCATION,0.8363095238095238,0.8438438438438438,0.8400597907324365,333
heur_rare,MISCELLANEOUS,0.6994106090373281,0.7021696252465484,0.7007874015748032,507
heur_rare,PERSON,0.9246231155778895,0.92,0.9223057644110277,200
advs,BUSINESS,0.8502304147465438,0.8482758620689655,0.849252013808976,435
advs,COURT,0.0,0.0,0.0,2
advs,GOVERNMENT,0.8932038834951457,0.9292929292929293,0.9108910891089108,99
advs,LEGISLATION/ACT,0.9551282051282052,0.952076677316294,0.9536,313
advs,LOCATION,0.9020979020979021,0.9148936170212766,0.9084507042253521,141
advs,MISCELLANEOUS,0.7871287128712872,0.7429906542056075,0.764423076923077,214
advs,PERSON,0.9387755102040817,0.9928057553956835,0.965034965034965,139
